vrsta,slovime,telteza,mozteza
Aotus trivirgatus,Ponocna opica,0.48,15.499
Aplodontia rufa ,Planinski bober,1.35,8.1
Blarina brevicauda ,Rovka,0.005,0.14
Bos taurus,Krava,464.983,423.012
Canis lupus,Volk,36.328,119.498
Capra hircus,Koza,27.66,114.996
Capreolus capreolus ,Srna,14.831,98.199
Cavia porcellus,Morski prasicek,1.04,5.5
Cercopithecus aethiops,Zelena opica,4.19,57.998
Chinchilla laniger,Cincila,0.425,6.4
Condylura cristata,Krt,0.06,1
Cricetomys gambianus,Gambijska podgana,1,6.6
Dasypus novemcinctus ,Armadiljo,3.5,10.8
Dendrohyrax validus ,Drevesni hiraks,2,12.3
Didelphis marsupialis ,Navadni oposum,1.7,6.3
Elephas maximus,Azijski slon,2547.07,4603.17
Eptesicus fuscus ,Netopir,0.023,0.3
Equus africanus asinus ,Osel,187.092,419.012
Equus caballus,Konj,521.026,654.977
Erinaceus europaeus ,Jez,0.785,3.5
ErythrocebusÂ patas ,Patas opica,10,114.996
Felis domesticus,Macka,3.3,25.6
Galago senegalensis ,Galago,0.2,5
Genetta genetta ,Zeneta,1.41,17.5
Giraffa camelopardalis ,Zirafa,529.006,680.005
Gorilla gorilla,Gorila,206.996,406.019
Halichoerus grypus ,Sivi tjulenj,85.004,324.992
Heterohyrax brucci ,Pikasti hiraks,0.75,12.3
Homo sapiens sapiens,Clovek,61.998,1320.02
Loxodonta africana ,Afriski slon,6654.18,5711.86
Macaca mulatta,Rezus makaki,6.8,179.003
Macropus giganteus ,Kenguru,34.998,56.003
Marmota flaviventris ,Svizec,4.05,17
Mesocricetus auratus,Zlati hrcek,0.12,1
Mus musculus,Hisna mis,0.023,0.4
Myotis lucifugus ,Majhni rjavi netopir,0.01,0.25
Nycticebus bengalensis ,Pocasni loris,1.4,12.5
Okapia johnstoni ,Okapi,250.01,489.997
Oryctolagus cuniculus,Kunec,2.5,12.1
Ovis aries,Ovca,55.501,175.002
Pan troglodytes ,Simpanz,52.159,440.011
Panthera onca ,Jaguar,100.003,156.993
Papio papio,Pavijan,10.55,179.504
Paraechinus aethiopicus ,Puscavski jez,0.55,2.4
Priodontes maximus ,Gigantski armadiljo,59.997,80.996
Procavia capensis ,Skalni hiraks,3.6,21
Procyon lotor ,Rakun,4.288,39.201
Rattus norvegicus,Podgana,0.28,1.9
Scalopus aquaticus ,Navadni krt,0.075,1.2
Spermophilus tridecemlineatus,Tekunica,0.101,4
Sus scrofa,Divja svinja,192.001,180.008
Tachyglossus aculeatus ,Kljunati jezek,3,25.001
Tapirus terrestris,Tapir,160.004,169
Tenrec ecaudatus,Tenrek,0.9,2.6
Trichosurus vulpecula,Lisicji kuzu,1.62,11.4
Tupaia glis,Navadna tupaja,0.104,2.5
Urocitellus parryii ,Polarna tekunica,0.92,5.7
Vulpes lagopus,Polarna lisica,3.385,44.5
Vulpes vulpes,Rdeca lisica,4.235,50.4
